Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,score
Cdc23,3.4760222203036473,3.441642495735178e-07,0.0012218201006497522,0.1724457419012079,0.8630871139275671,0.9299443672414996,1.0855983866336065e-08
Btbd7,2.9673164263640386,3.2764578726336077e-07,0.001217366872650952,0.18316244667793594,0.8546705590633135,0.9267812695855961,1.0819765564238956e-08
Igsf11,17.961298800612475,4.058951625545451e-07,0.0012218305190337324,0.1438247299265055,0.8856388742424789,0.9406455912755822,1.07862481721933e-08
Psma3,23.300815663703528,3.368004398973909e-07,0.0012313600777585818,0.1754496566878694,0.8607263252500871,0.9291776694024041,1.074435031528898e-08
Ttc19,5.019365680564835,3.5765571223580545e-07,0.001218986904376361,0.16077341378763266,0.8722718655295817,0.9338107960634302,1.0637077654031751e-08
Bag3,10.323088356768588,3.494776691089489e-07,0.001224778931031872,0.16261551367409555,0.8708211714414025,0.9329489983954904,1.0533989878156872e-08
Akirin2,4.409001619804008,3.4340754845082866e-07,0.0012262119723145221,0.16510958652171653,0.8688577276194466,0.9322024199940855,1.0470418533601165e-08
Tmem179b,5.107570285537225,3.5462258379197764e-07,0.0012259641750837196,0.15955288333257153,0.8732332970224836,0.934440525147989,1.044304471209726e-08
Tfdp2,1.7653424318161892,2.8812676048085857e-07,0.001223588955140156,0.19901546975658393,0.8422506435272527,0.9212539645656317,1.0263256776165571e-08
Wdsub1,1.4936278606244846,2.654066496550736e-07,0.0012181230490442827,0.21289514140121626,0.8314087521173728,0.9161063739749942,1.0099809903682181e-08
Api5,5.786638453123937,3.7157722882798005e-07,0.0012217955535146763,0.14555632211464645,0.8842716505578853,0.9406455912755822,9.8742842364766e-09
Ccnl2,6.037587422643156,3.638206816848652e-07,0.0012251941550670694,0.14969825827262775,0.8810026823929125,0.9394702005938705,9.865722112238871e-09
Abl1,1.2105883257746315,2.5682569946638356e-07,0.0012304272590725114,0.214495038893057,0.8301610353320078,0.9155550096023333,9.840419653932267e-09
Prkar2a,1.7916560944207307,2.80712835732261e-07,0.0012237169809519897,0.19528309668916072,0.8451713292112518,0.9227188169146883,9.805474172658256e-09
Rnf6,4.1137654587163865,3.2900910691400127e-07,0.0012157530072340692,0.16114414286238546,0.8719798735552496,0.9338107960634302,9.785095832107072e-09
Tor1aip2,4.861353812342814,3.512379717544763e-07,0.001221271464852942,0.15141923167116902,0.8796450196919345,0.9385128634635803,9.680037880573865e-09
Fam172a,2.1180658446059266,3.230130542938389e-07,0.001219372735524484,0.15557862227191907,0.8763651766882106,0.9357722085618043,9.312420176051094e-09
Impact,4.76225737727219,3.275660913935699e-07,0.0012251940134954602,0.1537738087919181,0.877788085734682,0.9368582044748472,9.278681507065404e-09
