Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
USH1C,254.41818675665647,-6.1982965865606445,0.9286628485498645,-9.088171270119252,1.0071878940659864e-19,2.3336278456063098e-17
CLDND1,11893.696388118513,-3.0083167065246483,0.3744599102538994,-9.075227904302198,1.134398466118503e-19,2.594236699984509e-17
SLC31A2,1911.44765133973,-2.910889361386717,0.3611627385592222,-9.043349710746337,1.5194283527524442e-19,3.430206905592024e-17
UGT8,1030.8481353551583,-5.539687572741269,0.864234912456995,-9.010384736943834,2.0533485853690954e-19,4.576888005033469e-17
RAPGEF3,493.57628489721293,-3.00482295350768,0.3876361237462678,-8.896656817236485,5.7554119826651515e-19,1.2668381200343831e-16
FAAH,767.7016958892618,-3.0178909798632065,0.37434624487688895,-8.883125061532674,6.500780992378021e-19,1.4132376851207973e-16
CES4A,152.81761021554968,-3.684961960182031,0.4577915290410409,-8.837759920351337,9.765684846110432e-19,2.0718547524717903e-16
BCAS1,2359.781477302884,-5.321454208727972,0.7657023923577534,-8.838089778494604,9.73690212182456e-19,2.0718547524717903e-16
RAPGEF5,177.65820497224036,-4.5073001005894495,0.6157695912222851,-8.829355777594344,1.0528034057967355e-18,2.2070018062707994e-16
ARRDC2,501.99589396456497,-2.4710780008298534,0.312310295934179,-8.823767379112901,1.1067200106002948e-18,2.292733254901246e-16
GJB1,1568.4358769678481,-5.0175797637321695,0.7364552798172911,-8.800112366388914,1.3667922976127513e-18,2.7985866940305743e-16
C10orf128,198.06129245915147,-3.5496698058472815,0.4554899375807651,-8.794505410278669,1.4367944883641402e-18,2.9081050742073727e-16
GPRC5A,128.5636763769169,5.759854577416791,0.8125217414619362,8.779434681252853,1.6429837585507785e-18,3.2876478414000748e-16
CNTNAP4,415.85864092199245,-6.374080444200685,1.320246860654678,-8.774773153458442,1.7124871691435454e-18,3.3882232091515387e-16
SMIM6,53.33891542727589,-5.310348146834855,0.7317390876461622,-8.771327624983558,1.7657185787458412e-18,3.4547264947928355e-16
EVI2A,1349.500610606876,-4.530044442141272,0.6441791867905048,-8.736776209705772,2.3985698457757776e-18,4.641364441128096e-16
HPN-AS1,62.52106568731783,-5.196339706752944,0.7668136774246567,-8.7285384778035,2.579846803980479e-18,4.93788286644481e-16
PLEKHH1,1048.223560496923,-4.240866828217133,0.6156512198367989,-8.71694438532443,2.8581044576250942e-18,5.411651762830138e-16
CA9,868.3425647611588,6.4228022015621375,0.9693550581071206,8.701230581670961,3.2830442142505665e-18,6.15011974135513e-16
ABCC3,643.2392058371288,4.4903894171055105,0.6407896609886492,8.695848385772063,3.4424785764662867e-18,6.38090581610472e-16
ANKS1B,1004.6226006146,-4.48102146726563,0.6848121639052712,-8.67240339545026,4.230936925859221e-18,7.760684200776565e-16
SPOCD1,1208.8564573913104,4.174097571850264,0.5735389132727191,8.648804914467567,5.204153924144741e-18,9.395881174420285e-16
HPN,143.91645254107732,-3.5982174952303763,0.48702526342803526,-8.648258584892645,5.229123488518303e-18,9.395881174420285e-16
ANK3,265.0256133920798,-3.8988861773247687,0.5400959192007112,-8.634600357487196,5.893270370925059e-18,1.0482282622385794e-15
CNP,31810.16618659473,-2.7042573196282005,0.353752954905727,-8.62074097762276,6.6522232315908774e-18,1.1713899888508376e-15
BIN1,4167.545114661802,-2.319011121305736,0.2944176423174782,-8.594957954017442,8.329529076867482e-18,1.4522245298471236e-15
