Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Artery Morphogenesis (GO:0048844),3/30,0.2070464459805196,0.7317456537600887,0,0,2.0081714952775123,3.1624928382532684,FOLR1;TBX2;VEGFA
GO_Biological_Process_2023,Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020),3/30,0.2070464459805196,0.7317456537600887,0,0,2.0081714952775123,3.1624928382532684,FKBP1A;SLN;GNB5
GO_Biological_Process_2023,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),3/30,0.2070464459805196,0.7317456537600887,0,0,2.0081714952775123,3.1624928382532684,SRPX2;ANXA1;VEGFA
GO_Biological_Process_2023,Response To Epidermal Growth Factor (GO:0070849),3/30,0.2070464459805196,0.7317456537600887,0,0,2.0081714952775123,3.1624928382532684,FOXC1;ERBB2;SNAI2
GO_Biological_Process_2023,Positive Regulation Of Neuron Projection Development (GO:0010976),7/92,0.208468283982234,0.7317456537600887,0,0,1.489538097118042,2.3355486140091823,MDK;PTK7;DPYSL3;CAMK1;CX3CL1;DBN1;EPHA3
GO_Biological_Process_2023,Wnt Signaling Pathway (GO:0016055),6/76,0.2086471667196139,0.7317456537600887,0,0,1.5500821018062398,2.429150171885733,SFRP4;FZD7;FZD6;GPC4;CD24;WNT3
GO_Biological_Process_2023,Regulation Of Protein Modification Process (GO:0031399),4/45,0.2096461819758237,0.7317456537600887,0,0,1.7636524740008397,2.75541425421142,CDH5;SESN2;FN1;ROPN1L
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),16/244,0.2134989182543637,0.7317456537600887,0,0,1.2706233669279583,1.9619994171049624,PSCA;SHC1;GPR55;F2R;PLA2G2A;FN1;CX3CL1;ICAM1;SPRED3;TRAF7;RRAS;TNIP1;ERBB2;CHI3L1;CD44;EPHA2
GO_Biological_Process_2023,Regulation Of T Cell Proliferation (GO:0042129),6/77,0.2170619248719559,0.7317456537600887,0,0,1.528169014084507,2.3343891111471704,ANXA1;VCAM1;PLA2G2A;HLA-G;SLC7A1;CD276
GO_Biological_Process_2023,Positive Regulation Of Intracellular Protein Transport (GO:0090316),9/126,0.21707046137067,0.7317456537600887,0,0,1.3916352619522647,2.125769164244114,TCAF2;CEMIP;MYO1C;AKT2;ZIC1;ERBB2;FLNA;CAMK1;EMD
GO_Biological_Process_2023,Positive Regulation Of Transferase Activity (GO:0051347),10/143,0.219111580983309,0.7317456537600887,0,0,1.3603961827646038,2.065318354769336,GINS1;PARM1;TNIP1;MYC;PLK1;ERBB2;TRIB3;EPHB4;AURKB;EPHA2
GO_Biological_Process_2023,Cellular Response To Lipid (GO:0071396),15/228,0.2191738629725576,0.7317456537600887,0,0,1.2748860311628225,1.9351367186792812,IRS1;FZD7;CXCL3;SSTR2;CXCL2;AQP1;CXCL10;SBNO2;TNIP1;PTK7;RARA;VIM;GBP2;EPHA3;WNT3
GO_Biological_Process_2023,Response To Lipid (GO:0033993),8/110,0.2207489966052174,0.7317456537600887,0,0,1.4186895487561628,2.143255421877979,SOCS2;ANXA1;SLPI;CITED1;GPX3;F2R;RARA;AQP3
GO_Biological_Process_2023,Amino Acid Transport (GO:0006865),4/46,0.2208458867577791,0.7317456537600887,0,0,1.721569698625148,2.600069785417754,SLC7A5;SLC38A6;SLC7A1;SLC38A5
GO_Biological_Process_2023,Cardiac Muscle Tissue Morphogenesis (GO:0055008),3/31,0.2209580771265092,0.7317456537600887,0,0,1.936348751534998,2.9234650556599946,FKBP1A;TPM1;NKX2-5
GO_Biological_Process_2023,Leukocyte Cell-Cell Adhesion (GO:0007159),3/31,0.2209580771265092,0.7317456537600887,0,0,1.936348751534998,2.9234650556599946,VCAM1;TNIP1;ICAM1
GO_Biological_Process_2023,Negative Chemotaxis (GO:0050919),3/31,0.2209580771265092,0.7317456537600887,0,0,1.936348751534998,2.9234650556599946,ITGB3;SEMA4F;NTN1
GO_Biological_Process_2023,Negative Regulation Of DNA Biosynthetic Process (GO:2000279),3/31,0.2209580771265092,0.7317456537600887,0,0,1.936348751534998,2.9234650556599946,SRC;STON1;TP53
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Migration (GO:0002687),3/31,0.2209580771265092,0.7317456537600887,0,0,1.936348751534998,2.9234650556599946,MDK;ICAM1;VEGFA
GO_Biological_Process_2023,Regulation Of Cell Morphogenesis (GO:0022604),3/31,0.2209580771265092,0.7317456537600887,0,0,1.936348751534998,2.9234650556599946,SPARC;NOL3;CD44
GO_Biological_Process_2023,NAD Biosynthetic Process (GO:0009435),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,NNMT;PTGIS
GO_Biological_Process_2023,T Cell Migration (GO:0072678),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,CXCL10;CD99
GO_Biological_Process_2023,Base Conversion Or Substitution Editing (GO:0016553),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,APOBEC3C;APOBEC3B
