Ensembl Gene ID,Gene Name,log2(Fold Change),adjusted p,biotype,direction
ENSG00000248803,AC092349.1,-2.36564204218883,0.0400702568860949,processed_pseudogene,Downregulated
ENSG00000254653,AC024475.1,-2.3569922630291,0.0314508840675403,lincRNA,Downregulated
ENSG00000275389,AC068790.9,-2.34767780342118,0.0225524151770356,lincRNA,Downregulated
ENSG00000281732,Z84468.1,-2.33961736542196,0.034648263523644,processed_transcript,Downregulated
ENSG00000237212,AL449403.1,-2.33398530303848,0.000707491424812136,lincRNA,Downregulated
ENSG00000050327,ARHGEF5,-2.33148369251312,0.0399545090839542,protein_coding,Downregulated
ENSG00000235020,AL390783.1,-2.33146046186029,0.00155829920456736,processed_transcript,Downregulated
ENSG00000270171,AL359881.3,-2.32119907586025,0.00178575569255582,lincRNA,Downregulated
ENSG00000165076,PRSS37,-2.31695178413903,0.00531436124290146,protein_coding,Downregulated
ENSG00000232656,IDI2-AS1,-2.30386299715422,9.97164585416374e-05,antisense_RNA,Downregulated
ENSG00000262118,MTCO1P28,-2.3007963422241,0.00626429812025778,processed_pseudogene,Downregulated
ENSG00000176920,FUT2,-2.29827730293154,0.0113074190511773,protein_coding,Downregulated
ENSG00000279917,AC079331.2,-2.29568428732435,0.000482438696017101,TEC,Downregulated
ENSG00000277978,AC010542.5,-2.29430376338923,0.00750356487227493,antisense_RNA,Downregulated
ENSG00000256609,AC084880.3,-2.2879209427783,0.00723947754030624,antisense_RNA,Downregulated
ENSG00000259356,AC022710.1,-2.28048537387174,0.00122838966892578,antisense_RNA,Downregulated
ENSG00000258605,DYNLL1P2,-2.27960020017216,0.00674925531521412,processed_pseudogene,Downregulated
ENSG00000225783,MIAT,-2.27509848464016,2.83070198956841e-05,lincRNA,Downregulated
ENSG00000105048,TNNT1,-2.26833103653035,0.0171199383500845,protein_coding,Downregulated
ENSG00000259347,AC087482.1,-2.26482493465886,0.00870666597948098,antisense_RNA,Downregulated
ENSG00000205795,CYS1,-2.26296208782923,0.00331617498933598,protein_coding,Downregulated
ENSG00000259205,PRKXP1,-2.26124204342131,0.035247355473404,processed_pseudogene,Downregulated
ENSG00000010282,HHATL,-2.2592527479843,0.00626429812025778,protein_coding,Downregulated
ENSG00000148408,CACNA1B,-2.25488768475827,8.27879387533989e-05,protein_coding,Downregulated
ENSG00000255165,AC134775.1,-2.24723522049298,0.0486614769290282,sense_intronic,Downregulated
ENSG00000271776,AL445209.1,-2.24333428043782,0.00972050045553699,antisense_RNA,Downregulated
ENSG00000140932,CMTM2,-2.24277857970204,0.0347007827755585,protein_coding,Downregulated
ENSG00000101282,RSPO4,-2.23603462670837,0.0380982256200831,protein_coding,Downregulated
ENSG00000236754,AC007666.1,-2.23571247103476,0.000687753713345144,antisense_RNA,Downregulated
ENSG00000278896,AC025031.5,-2.23241190685871,0.0364217923172782,TEC,Downregulated
ENSG00000238755,LINC02006,-2.22014022000432,0.0128437627114525,processed_transcript,Downregulated
ENSG00000097096,SYDE2,-2.21857335391007,9.79131857017568e-05,protein_coding,Downregulated
ENSG00000229240,LINC00710,-2.21820578599909,0.0382932279096129,processed_transcript,Downregulated
ENSG00000246145,RRS1-AS1,-2.21683703785669,3.39064281289934e-05,lincRNA,Downregulated
ENSG00000134760,DSG1,-2.21444659719766,0.0107996410340528,protein_coding,Downregulated
ENSG00000236197,AC002429.2,-2.21278185721477,1.13745696364236e-06,protein_coding,Downregulated
ENSG00000279361,AC079331.1,-2.21243770454437,0.00231360637966294,TEC,Downregulated
ENSG00000274015,AL136038.5,-2.2083559455514,0.0122018252608616,lincRNA,Downregulated
ENSG00000269067,ZNF728,-2.20737089459851,0.00328940889603982,protein_coding,Downregulated
ENSG00000259232,AC105129.1,-2.20349549553073,0.00673388205235438,processed_pseudogene,Downregulated
ENSG00000184313,MROH7,-2.20157758145308,1.0189083473923e-05,protein_coding,Downregulated
ENSG00000215380,AC090625.1,-2.20141607770835,4.51995253543349e-05,processed_pseudogene,Downregulated
ENSG00000228382,ITPKB-IT1,-2.20119805708442,0.0104206785427444,sense_intronic,Downregulated
ENSG00000183066,WBP2NL,-2.19980793437404,1.33959444331423e-05,protein_coding,Downregulated
ENSG00000237001,WASF3-AS1,-2.1890977142582,0.000563284392013929,antisense_RNA,Downregulated
ENSG00000151892,GFRA1,-2.18833423466918,0.001154518751688,protein_coding,Downregulated
ENSG00000184925,LCN12,-2.18766442843428,0.000482594096689682,protein_coding,Downregulated
ENSG00000266967,AARSD1,-2.18286618403252,0.00180286426065583,protein_coding,Downregulated
ENSG00000233690,EBAG9P1,-2.17931236273559,0.00230167661972686,processed_pseudogene,Downregulated
ENSG00000271259,AC010201.1,-2.16845246298027,0.0230442195975898,lincRNA,Downregulated
ENSG00000239880,AC068760.1,-2.16717385060802,0.0161543283515277,processed_pseudogene,Downregulated
ENSG00000164626,KCNK5,-2.16642169441976,0.0318936194885837,protein_coding,Downregulated
ENSG00000080224,EPHA6,-2.1654332780193,0.0488695562795961,protein_coding,Downregulated
ENSG00000279085,AL022323.3,-2.1526025277573,0.00601391271733553,antisense_RNA,Downregulated
ENSG00000074660,SCARF1,-2.1516668623162,1.21774170091173e-05,protein_coding,Downregulated
ENSG00000268055,AC067969.1,-2.15157837148302,0.0429483641516636,antisense_RNA,Downregulated
ENSG00000279841,AC092135.3,-2.15100248097487,0.00472283256206254,TEC,Downregulated
ENSG00000279110,AL022323.4,-2.14985479578954,1.88920849947461e-07,antisense_RNA,Downregulated
ENSG00000146250,PRSS35,-2.14920201681233,9.14389180954169e-05,protein_coding,Downregulated
ENSG00000132321,IQCA1,-2.14471084548919,3.54000877508029e-05,protein_coding,Downregulated
ENSG00000229206,AL162408.1,-2.14210453936101,0.000422584767246491,lincRNA,Downregulated
ENSG00000258730,ITPK1-AS1,-2.1380405472129,0.00103699668915661,antisense_RNA,Downregulated
ENSG00000270947,AC025811.1,-2.13686567952142,0.0340371157558322,lincRNA,Downregulated
ENSG00000156414,TDRD9,-2.13670268286155,0.0298948158046952,protein_coding,Downregulated
ENSG00000277566,AC089999.3,-2.1355106017396,0.0278304630050457,sense_intronic,Downregulated
ENSG00000232373,MTCYBP3,-2.13281415506291,0.0185992564125297,processed_pseudogene,Downregulated
ENSG00000280485,AL358154.1,-2.12675346750857,0.00073641464020569,antisense_RNA,Downregulated
ENSG00000227355,AL359644.1,-2.12297125514011,0.00480384089457056,antisense_RNA,Downregulated
ENSG00000259591,AC022898.1,-2.12273791699265,0.000636484474681781,antisense_RNA,Downregulated
ENSG00000103316,CRYM,-2.11834383859148,0.0253392935502432,protein_coding,Downregulated
ENSG00000187791,FAM205C,-2.11511353592822,0.0447075459090112,protein_coding,Downregulated
ENSG00000274902,AC004241.2,-2.10534687393384,0.00445633815896036,lincRNA,Downregulated
ENSG00000255004,AL133330.2,-2.09851594920402,2.12072764691915e-06,antisense_RNA,Downregulated
ENSG00000255396,AP000857.1,-2.09726301407927,0.00537766600762336,processed_pseudogene,Downregulated
ENSG00000177993,ZNRF3-AS1,-2.09404606326799,0.000345940402574178,antisense_RNA,Downregulated
ENSG00000231246,AL445426.1,-2.09168841404626,0.0232769632934041,lincRNA,Downregulated
ENSG00000137331,IER3,-2.08603408229448,0.00256297192459795,protein_coding,Downregulated
ENSG00000230993,RPL12P15,-2.0760632353976,0.0142700964274909,processed_pseudogene,Downregulated
ENSG00000255508,AP002990.1,-2.07203720589418,0.0138169184826752,protein_coding,Downregulated
ENSG00000254349,MIR2052HG,-2.07189326077757,0.00370150542762849,lincRNA,Downregulated
ENSG00000101180,HRH3,-2.06808612825986,0.0482600902028178,protein_coding,Downregulated
ENSG00000253932,AC019270.1,-2.06667734418671,0.00330209821986163,antisense_RNA,Downregulated
ENSG00000279149,AL356750.1,-2.06518444082831,0.0364558470031204,TEC,Downregulated
ENSG00000130653,PNPLA7,-2.06467134391848,2.50595698274005e-05,protein_coding,Downregulated
ENSG00000163145,C1QTNF7,-2.06180812465415,0.00674967272468644,protein_coding,Downregulated
ENSG00000269815,AC010463.3,-2.05845145390237,0.0040615067490839,sense_intronic,Downregulated
ENSG00000259158,ADAM20P1,-2.05487412510432,0.00204161456109226,transcribed_unprocessed_pseudogene,Downregulated
ENSG00000236501,AC074286.1,-2.05161454066398,0.0277152166266892,lincRNA,Downregulated
ENSG00000197921,HES5,-2.04374775180436,0.00230167661972686,protein_coding,Downregulated
ENSG00000202400,SNORD82,-2.04223779621081,0.0271958325141927,snoRNA,Downregulated
ENSG00000228368,AC106873.1,-2.03677121846848,0.048503921702784,antisense_RNA,Downregulated
ENSG00000175985,PLEKHD1,-2.03164053515423,0.0157759856078737,protein_coding,Downregulated
ENSG00000185053,SGCZ,-2.02802111116609,0.00575182507272755,protein_coding,Downregulated
