Ensembl Gene ID,Gene Name,log2(Fold Change),adjusted p,biotype,direction
ENSG00000122694,GLIPR2,2.1259704737285,1.88920849947461e-07,protein_coding,Upregulated
ENSG00000100060,MFNG,2.12535199377099,0.00655215455540725,protein_coding,Upregulated
ENSG00000121621,KIF18A,2.12348978759014,0.00508049168763794,protein_coding,Upregulated
ENSG00000090932,DLL3,2.12208690265531,0.0102847865004089,protein_coding,Upregulated
ENSG00000158292,GPR153,2.11392038904792,0.0201012391817837,protein_coding,Upregulated
ENSG00000134853,PDGFRA,2.11286090709902,0.0270105520446091,protein_coding,Upregulated
ENSG00000133055,MYBPH,2.11233641179673,0.0280275895863249,protein_coding,Upregulated
ENSG00000275395,FCGBP,2.10936790518953,0.000606331942728264,protein_coding,Upregulated
ENSG00000184611,KCNH7,2.10817817355015,0.00535204407121817,protein_coding,Upregulated
ENSG00000157766,ACAN,2.10787276846618,0.0384116740481179,protein_coding,Upregulated
ENSG00000011028,MRC2,2.10054988749641,0.00154037276966327,protein_coding,Upregulated
ENSG00000116132,PRRX1,2.09989247666901,0.00318027060126375,protein_coding,Upregulated
ENSG00000124772,CPNE5,2.09761416444884,0.00340394249614264,protein_coding,Upregulated
ENSG00000112414,ADGRG6,2.09534046642756,0.0159730490980501,protein_coding,Upregulated
ENSG00000228462,RPS19P7,2.0941687247013,0.0330964917746734,processed_pseudogene,Upregulated
ENSG00000164778,EN2,2.0861592997016,0.0369080255616453,protein_coding,Upregulated
ENSG00000113532,ST8SIA4,2.08523414677568,0.00447819327794696,protein_coding,Upregulated
ENSG00000162493,PDPN,2.06321437200128,3.2768355928828e-05,protein_coding,Upregulated
ENSG00000166741,NNMT,2.06215122550324,0.0153304069903301,protein_coding,Upregulated
ENSG00000189184,PCDH18,2.06190028498529,0.0194315892553283,protein_coding,Upregulated
ENSG00000092054,MYH7,2.05953448543991,0.0302974010538031,protein_coding,Upregulated
ENSG00000273492,AP000229.1,2.05509025696209,0.0459029824141314,lincRNA,Upregulated
ENSG00000115112,TFCP2L1,2.05033292552858,0.0407858095674503,protein_coding,Upregulated
ENSG00000146592,CREB5,2.04812105171768,0.00930090922317897,protein_coding,Upregulated
ENSG00000128833,MYO5C,2.04735381903676,0.0071923679354087,protein_coding,Upregulated
ENSG00000113368,LMNB1,2.03770390761795,0.00167067499946553,protein_coding,Upregulated
ENSG00000175093,SPSB4,2.03564737495626,0.0253190411485526,protein_coding,Upregulated
ENSG00000105672,ETV2,2.02941525825365,0.0389913322040928,protein_coding,Upregulated
ENSG00000101098,RIMS4,2.02557529618606,0.0289377425072086,protein_coding,Upregulated
ENSG00000101911,PRPS2,2.02527822452252,0.00234067148916741,protein_coding,Upregulated
ENSG00000171004,HS6ST2,2.02470420075816,0.0252218458992735,protein_coding,Upregulated
ENSG00000154640,BTG3,2.02246996405822,0.00133115082590917,protein_coding,Upregulated
ENSG00000125675,GRIA3,2.02230310383287,0.0172451781296213,protein_coding,Upregulated
ENSG00000121211,MND1,2.00026489886557,0.0430510687811901,protein_coding,Upregulated
ENSG00000184613,NELL2,1.99669261949974,0.000151998765429798,protein_coding,Upregulated
ENSG00000157601,MX1,1.99023467915068,0.00930732302599471,protein_coding,Upregulated
ENSG00000227502,LINC01268,1.98771547450873,0.0212624290699123,lincRNA,Upregulated
ENSG00000166401,SERPINB8,1.98130210298128,0.000576341884879139,protein_coding,Upregulated
ENSG00000125355,TMEM255A,1.9790363264519,0.00648378945037239,protein_coding,Upregulated
ENSG00000249859,PVT1,1.96822290817833,0.00674925531521412,lincRNA,Upregulated
ENSG00000233670,PIRT,1.95440569080578,0.0325803302653263,protein_coding,Upregulated
ENSG00000187546,AGMO,1.95142807932158,0.0155097243650135,protein_coding,Upregulated
ENSG00000121904,CSMD2,1.94869216628971,0.00818949624293566,protein_coding,Upregulated
ENSG00000237931,CLIC4P3,1.94863733393299,3.39064281289934e-05,processed_pseudogene,Upregulated
